id,name,date,time,type,subtype,frequency,Credit,Debit,tran_type
0,Breakfast,01-03-20,9:05:23,food,Breakfast,Daily,38,,Cash
1,Breakfast,02-03-20,9:09:16,food,Breakfast,Daily,29,,Cash
2,Breakfast,03-03-20,8:42:48,food,Breakfast,Daily,27,,Cash
3,Breakfast,04-03-20,8:30:39,food,Breakfast,Daily,33,,Cash
4,Breakfast,05-03-20,9:39:07,food,Breakfast,Daily,24,,Cash
5,Breakfast,06-03-20,8:04:28,food,Breakfast,Daily,39,,Cash
6,Breakfast,07-03-20,8:19:32,food,Breakfast,Daily,27,,Cash
7,Breakfast,08-03-20,8:43:12,food,Breakfast,Daily,34,,Cash
8,Breakfast,09-03-20,9:55:13,food,Breakfast,Daily,38,,Cash
9,Breakfast,10-03-20,8:12:06,food,Breakfast,Daily,39,,Cash
10,Breakfast,11-03-20,9:37:32,food,Breakfast,Daily,30,,Cash
11,Breakfast,12-03-20,9:54:20,food,Breakfast,Daily,23,,Cash
12,Breakfast,13-03-20,8:42:26,food,Breakfast,Daily,31,,Cash
13,Breakfast,14-03-20,9:24:37,food,Breakfast,Daily,23,,Cash
14,Breakfast,15-03-20,8:34:57,food,Breakfast,Daily,35,,Cash
15,Breakfast,16-03-20,9:38:35,food,Breakfast,Daily,38,,Cash
16,Breakfast,17-03-20,8:55:42,food,Breakfast,Daily,35,,Cash
17,Breakfast,18-03-20,10:31:55,food,Breakfast,Daily,33,,Cash
18,Breakfast,19-03-20,10:39:03,food,Breakfast,Daily,36,,Cash
19,Breakfast,20-03-20,9:29:34,food,Breakfast,Daily,24,,Cash
20,Breakfast,21-03-20,9:35:35,food,Breakfast,Daily,32,,Cash
21,Breakfast,22-03-20,9:03:43,food,Breakfast,Daily,22,,Cash
22,Breakfast,23-03-20,10:30:43,food,Breakfast,Daily,23,,Cash
23,Breakfast,24-03-20,10:26:03,food,Breakfast,Daily,33,,Cash
24,Breakfast,25-03-20,9:20:28,food,Breakfast,Daily,40,,Cash
25,Breakfast,26-03-20,8:31:36,food,Breakfast,Daily,27,,Cash
26,Breakfast,27-03-20,8:51:03,food,Breakfast,Daily,31,,Cash
27,Breakfast,28-03-20,9:17:41,food,Breakfast,Daily,40,,Cash
28,Breakfast,29-03-20,8:20:07,food,Breakfast,Daily,22,,Cash
29,Breakfast,30-03-20,9:09:55,food,Breakfast,Daily,26,,Cash
30,Breakfast,31-03-20,10:47:50,food,Breakfast,Daily,40,,Cash
32,Extra Tiffin,01-03-20,12:38:45,food,Extra Tiffin,Once,11,,Cash
33,Extra Tiffin,03-03-20,10:36:44,food,Extra Tiffin,Once,12,,Cash
34,Extra Tiffin,05-03-20,18:28:48,food,Extra Tiffin,Once,13,,Cash
35,Extra Tiffin,07-03-20,13:50:28,food,Extra Tiffin,Once,16,,Cash
36,Extra Tiffin,09-03-20,12:30:49,food,Extra Tiffin,Once,10,,Cash
37,Extra Tiffin,11-03-20,19:53:39,food,Extra Tiffin,Once,17,,Cash
38,Extra Tiffin,13-03-20,15:16:54,food,Extra Tiffin,Once,18,,Cash
39,Extra Tiffin,15-03-20,10:35:54,food,Extra Tiffin,Once,12,,Cash
40,Extra Tiffin,17-03-20,20:34:23,food,Extra Tiffin,Once,15,,Cash
41,Extra Tiffin,19-03-20,12:30:02,food,Extra Tiffin,Once,15,,Cash
42,Extra Tiffin,21-03-20,17:10:38,food,Extra Tiffin,Once,10,,Cash
43,Extra Tiffin,23-03-20,18:05:29,food,Extra Tiffin,Once,17,,Cash
44,Extra Tiffin,25-03-20,13:54:05,food,Extra Tiffin,Once,13,,Cash
45,Extra Tiffin,27-03-20,10:35:24,food,Extra Tiffin,Once,14,,Cash
46,Extra Tiffin,29-03-20,19:11:00,food,Extra Tiffin,Once,20,,Cash
47,Extra Tiffin,31-03-20,11:12:19,food,Extra Tiffin,Once,10,,Cash
49,Hair,07-03-20,11:22:00,Personal,Grooming,Monthly,50,,Cash
51,Home Income,03-03-20,13:26:36,Income,Personal,Weekly,,1000,Bank Transfer
52,Home Income,10-03-20,12:39:58,Income,Personal,Weekly,,1000,Bank Transfer
53,Home Income,17-03-20,14:16:05,Income,Personal,Weekly,,2000,Bank Transfer
54,Home Income,24-03-20,13:09:40,Income,Personal,Weekly,,9000,Bank Transfer
55,Home Income,31-03-20,14:28:56,Income,Personal,Weekly,,1000,Bank Transfer
57,Mess,03-03-20,21:56:51,food,Mess,Weekly,500,,Cash
58,Mess,10-03-20,22:09:19,food,Mess,Weekly,500,,Cash
59,Mess,17-03-20,22:50:33,food,Mess,Weekly,500,,Cash
60,Mess,24-03-20,22:38:19,food,Mess,Weekly,500,,Cash
62,Evening Snacks,01-03-20,19:00:07,food,Evening Snacks,Daily,31,,Cash
63,Evening Snacks,02-03-20,19:23:20,food,Evening Snacks,Daily,39,,Cash
64,Evening Snacks,03-03-20,18:21:23,food,Evening Snacks,Daily,28,,Cash
65,Evening Snacks,04-03-20,18:22:11,food,Evening Snacks,Daily,27,,Cash
66,Evening Snacks,05-03-20,18:07:09,food,Evening Snacks,Daily,22,,Cash
67,Evening Snacks,06-03-20,18:25:54,food,Evening Snacks,Daily,23,,Cash
68,Evening Snacks,07-03-20,18:51:30,food,Evening Snacks,Daily,31,,Cash
69,Evening Snacks,08-03-20,18:49:24,food,Evening Snacks,Daily,25,,Cash
70,Evening Snacks,09-03-20,19:05:57,food,Evening Snacks,Daily,34,,Cash
71,Evening Snacks,10-03-20,19:00:14,food,Evening Snacks,Daily,24,,Cash
72,Evening Snacks,11-03-20,18:25:34,food,Evening Snacks,Daily,30,,Cash
73,Evening Snacks,12-03-20,19:28:58,food,Evening Snacks,Daily,20,,Cash
74,Evening Snacks,13-03-20,19:13:00,food,Evening Snacks,Daily,38,,Cash
76,Evening Snacks,15-03-20,18:32:45,food,Evening Snacks,Daily,28,,Cash
77,Evening Snacks,16-03-20,19:14:20,food,Evening Snacks,Daily,27,,Cash
78,Evening Snacks,17-03-20,18:35:41,food,Evening Snacks,Daily,22,,Cash
79,Evening Snacks,18-03-20,18:03:26,food,Evening Snacks,Daily,23,,Cash
80,Evening Snacks,19-03-20,18:59:21,food,Evening Snacks,Daily,25,,Cash
81,Evening Snacks,20-03-20,18:38:31,food,Evening Snacks,Daily,34,,Cash
82,Evening Snacks,21-03-20,18:58:05,food,Evening Snacks,Daily,25,,Cash
83,Evening Snacks,22-03-20,18:23:41,food,Evening Snacks,Daily,37,,Cash
84,Evening Snacks,23-03-20,18:47:32,food,Evening Snacks,Daily,40,,Cash
85,Evening Snacks,24-03-20,18:42:35,food,Evening Snacks,Daily,31,,Cash
86,Evening Snacks,25-03-20,18:45:01,food,Evening Snacks,Daily,31,,Cash
87,Evening Snacks,26-03-20,18:17:06,food,Evening Snacks,Daily,26,,Cash
88,Evening Snacks,27-03-20,18:48:51,food,Evening Snacks,Daily,23,,Cash
90,Evening Snacks,29-03-20,18:49:51,food,Evening Snacks,Daily,29,,Cash
91,Evening Snacks,30-03-20,19:18:01,food,Evening Snacks,Daily,35,,Cash
92,Evening Snacks,31-03-20,18:50:52,food,Evening Snacks,Daily,31,,Cash
94,Biriyani,13-03-20,21:00:00,food,Diner,Once,80,,Cash
95,Biriyani,25-03-20,21:30:11,food,Diner,Once,70,,Cash
97,Gass Refund,17-03-20,6:22:00,Income,Gass Refund,Monthly,,196,Bank Transfer
99,Electricity,29-03-20,15:07:24,Household Expen,Electric Bill,monthly,7088,,Bank Transfer
100,Electricity,29-03-20,15:05:51,Household Expen,Electric Bill,monthly,543,,Bank Transfer
102,Travel Home,13-03-20,14:42:53,Travel,Personal,weekly,38,,Cash
103,Travel Home,15-03-20,15:42:53,Travel,Personal,weekly,35,,Cash
104,Travel Home,27-03-20,16:42:53,Travel,Personal,weekly,42,,Cash
105,Travel Home,29-03-20,17:42:53,Travel,Personal,weekly,36,,Cash
